ID;Time[s];
895;0.866454;00000001
896;0.866524;Stop bit
897;0.866541;Start bit
898;0.86655;00000001
899;0.866619;Stop bit
900;0.866637;Start bit
901;0.866645;10001100
902;0.866715;Stop bit
903;0.866732;Start bit
904;0.866741;00000010
905;0.86681;Stop bit
906;0.866828;Start bit
907;0.866837;00000000
908;0.866906;Stop bit
909;0.866923;Start bit
910;0.866932;00000000
911;0.867001;Stop bit
912;0.867019;Start bit
913;0.867027;00100010
914;0.867097;Stop bit
915;0.867115;Start bit
916;0.867123;00100010
917;0.867192;Stop bit
918;0.86721;Start bit
919;0.867219;00000000
920;0.867288;Stop bit
921;0.867305;Start bit
922;0.867314;00000000
923;0.867383;Stop bit
924;0.868347;Start bit
925;0.868356;00000001
926;0.868425;Stop bit
927;0.868443;Start bit
928;0.868451;00000010
929;0.868521;Stop bit
930;0.868538;Start bit
931;0.868547;11111101
932;0.868617;Stop bit
933;0.868634;Start bit
934;0.868642;00001010
935;0.868712;Stop bit
936;0.868729;Start bit
937;0.868738;00000001
938;0.868807;Stop bit
939;0.868825;Start bit
940;0.868833;00000001
941;0.868903;Stop bit
942;0.86892;Start bit
943;0.868929;10010000
944;0.868999;Stop bit
945;0.869016;Start bit
946;0.869024;00000010
947;0.869094;Stop bit
948;0.869111;Start bit
949;0.869119;00000000
950;0.869189;Stop bit
951;0.869206;Start bit
952;0.869215;00000000
953;0.869285;Stop bit
954;0.869302;Start bit
955;0.86931;10011111
956;0.86938;Stop bit
957;0.869397;Start bit
958;0.869406;00110101
959;0.869475;Stop bit
960;0.869493;Start bit
961;0.869501;00000000
962;0.869571;Stop bit
963;0.869588;Start bit
964;0.869597;00000000
965;0.869667;Stop bit
966;0.87063;Start bit
967;0.870639;00000001
968;0.870708;Stop bit
969;0.870726;Start bit
970;0.870734;00000010
971;0.870804;Stop bit
972;0.870821;Start bit
973;0.87083;11111101
974;0.870899;Stop bit
975;0.870917;Start bit
976;0.870925;00001010
977;0.870995;Stop bit
978;0.871012;Start bit
979;0.871021;00000001
980;0.87109;Stop bit
981;0.871108;Start bit
982;0.871116;00000001
983;0.871186;Stop bit
984;0.871203;Start bit
985;0.871212;10011100
986;0.871281;Stop bit
987;0.871299;Start bit
988;0.871308;00000010
989;0.871377;Stop bit
990;0.871394;Start bit
991;0.871403;00000000
992;0.871472;Stop bit
993;0.87149;Start bit
994;0.871498;00000000
995;0.871568;Stop bit
996;0.871586;Start bit
997;0.871594;00010001
998;0.871663;Stop bit
999;0.871681;Start bit
1000;0.87169;00000000
1001;0.871759;Stop bit
1002;0.871776;Start bit
1003;0.871785;00000000
1004;0.871854;Stop bit
1005;0.871872;Start bit
1006;0.87188;00000000
1007;0.87195;Stop bit
1008;0.872914;Start bit
1009;0.872922;00000001
1010;0.872991;Stop bit
1011;0.873009;Start bit
1012;0.873018;00000010
1013;0.873087;Stop bit
1014;0.873104;Start bit
1015;0.873113;11111101
1016;0.873182;Stop bit
1017;0.8732;Start bit
1018;0.873208;00001010
1019;0.873278;Stop bit
1020;0.873296;Start bit
1021;0.873304;00000001
1022;0.873373;Stop bit
1023;0.873391;Start bit
1024;0.873399;00000001
1025;0.873469;Stop bit
1026;0.873486;Start bit
1027;0.873495;10100000
1028;0.873564;Stop bit
1029;0.873582;Start bit
1030;0.87359;00000010
1031;0.87366;Stop bit
1032;0.873677;Start bit
1033;0.873686;00000000
1034;0.873755;Stop bit
1035;0.873773;Start bit
1036;0.873781;00000000
1037;0.873851;Stop bit
1038;0.873868;Start bit
1039;0.873877;01001111
1040;0.873946;Stop bit
1041;0.873964;Start bit
1042;0.873972;00010010
1043;0.874042;Stop bit
1044;0.874059;Start bit
1045;0.874068;00000000
1046;0.874138;Stop bit
1047;0.874155;Start bit
1048;0.874163;00000000
1049;0.874233;Stop bit
1050;0.875197;Start bit
1051;0.875205;00000001
1052;0.875275;Stop bit
1053;0.875292;Start bit
1054;0.875301;00000010
1055;0.87537;Stop bit
1056;0.875388;Start bit
1057;0.875396;11111101
1058;0.875466;Stop bit
1059;0.875483;Start bit
1060;0.875492;00001010
1061;0.875561;Stop bit
1062;0.875579;Start bit
1063;0.875587;00000001
1064;0.875657;Stop bit
1065;0.875674;Start bit
1066;0.875683;00000001
1067;0.875752;Stop bit
1068;0.87577;Start bit
1069;0.875779;11100100
1070;0.875848;Stop bit
1071;0.875865;Start bit
1072;0.875874;00000010
1073;0.875943;Stop bit
1074;0.875961;Start bit
1075;0.875969;00000000
1076;0.876039;Stop bit
1077;0.876057;Start bit
1078;0.876065;00000000
1079;0.876134;Stop bit
1080;0.876152;Start bit
1081;0.876161;11111100
1082;0.87623;Stop bit
1083;0.876247;Start bit
1084;0.876256;10100101
1085;0.876325;Stop bit
1086;0.876343;Start bit
1087;0.876351;00000000
1088;0.876421;Stop bit
1089;0.876439;Start bit
1090;0.876447;00000000
1091;0.876516;Stop bit
1092;0.87748;Start bit
1093;0.877489;00000001
1094;0.877558;Stop bit
1095;0.877575;Start bit
1096;0.877584;00000010
1097;0.877653;Stop bit
1098;0.877671;Start bit
1099;0.877679;11111101
1100;0.877749;Stop bit
1101;0.877767;Start bit
1102;0.877775;00001010
1103;0.877844;Stop bit
1104;0.877862;Start bit
1105;0.87787;00000001
1106;0.87794;Stop bit
1107;0.877957;Start bit
1108;0.877966;00000001
1109;0.878035;Stop bit
1110;0.878053;Start bit
1111;0.878061;11111100
1112;0.878131;Stop bit
1113;0.878148;Start bit
1114;0.878157;00000010
1115;0.878226;Stop bit
1116;0.878244;Start bit
1117;0.878252;00000000
1118;0.878322;Stop bit
1119;0.878339;Start bit
1120;0.878348;00000000
1121;0.878417;Stop bit
1122;0.878435;Start bit
1123;0.878443;00000001
1124;0.878513;Stop bit
1125;0.87853;Start bit
1126;0.878539;00000000
1127;0.878609;Stop bit
1128;0.878626;Start bit
1129;0.878634;00000000
1130;0.878704;Stop bit
1131;0.878721;Start bit
1132;0.87873;00000000
1133;0.878799;Stop bit
1134;0.879763;Start bit
1135;0.879772;00000001
1136;0.879841;Stop bit
1137;0.879859;Start bit
1138;0.879867;00000010
1139;0.879937;Stop bit
1140;0.879954;Start bit
1141;0.879963;11111101
1142;0.880032;Stop bit
1143;0.88005;Start bit
1144;0.880058;00001010
1145;0.880128;Stop bit
1146;0.880145;Start bit
1147;0.880154;00000001
1148;0.880223;Stop bit
1149;0.880241;Start bit
